rank	dataset	sample_id	cancer	candidate	pathway	ligand	receptor	priority	v3_score	recurrence_n	target_enrichment	target_percentile	evidence_grade	evidence_summary	source_ids	source_urls	manual_review_status
1	GSE292299	GSM8855713_NSCLC_P11	NSCLC	tumor_like->tumor_like SPP1-CD44	SPP1	SPP1	CD44	tier1_recurrent_external_target_enriched	0.941658	16	2.5416292	1	direct_axis_other_cancer	Direct published evidence supports the SPP1-CD44 axis in other tumor microenvironments; current NSCLC row remains computationally inferred.	GEO_GSE292299;PMID_42092150;PMID_34418441;PMID_41120125;PMID_39267037;PMID_40457349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/34418441/;https://pubmed.ncbi.nlm.nih.gov/41120125/;https://pubmed.ncbi.nlm.nih.gov/39267037/;https://pubmed.ncbi.nlm.nih.gov/40457349/	first_pass_pubmed_geo_checked
2	GSE292299	GSM8855713_NSCLC_P11	NSCLC	tumor_like->tumor_like MIF-CD74	MIF	MIF	CD74	tier1_recurrent_external_target_enriched	0.941587	15	2.099073	1	direct_axis_same_cancer	Direct published evidence supports the MIF-CD74 axis in NSCLC; dataset source confirms same broad spatial cohort context. This is not same-sample validation.	GEO_GSE292299;PMID_42092150;PMID_38685050;PMID_36878933;PMID_40457349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/;https://pubmed.ncbi.nlm.nih.gov/40457349/	first_pass_pubmed_geo_checked
3	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like->tumor_like SPP1-CD44	SPP1	SPP1	CD44	tier3_target_supported_high_v3	0.941445	4	1.3837832	1	direct_axis_other_cancer	Direct published evidence supports the SPP1-CD44 axis in other tumor microenvironments; current melanoma row remains computationally inferred.	GEO_GSE300445;PMID_42315253;PMID_34418441;PMID_41120125;PMID_39267037	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300445;https://pubmed.ncbi.nlm.nih.gov/42315253/;https://pubmed.ncbi.nlm.nih.gov/34418441/;https://pubmed.ncbi.nlm.nih.gov/41120125/;https://pubmed.ncbi.nlm.nih.gov/39267037/	first_pass_pubmed_geo_checked
4	GSE292299	GSM8855713_NSCLC_P11	NSCLC	tumor_like->tumor_like SPP1-ITGAV	SPP1	SPP1	ITGAV	tier1_recurrent_external_target_enriched	0.941409	15	2.5416292	1	broad_spp1_integrin_axis	Published evidence supports broad SPP1-integrin signaling, but not exact SPP1-ITGAV validation in this dataset.	GEO_GSE292299;PMID_42092150;PMID_27329720;PMID_39267037;PMID_40457349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/27329720/;https://pubmed.ncbi.nlm.nih.gov/39267037/;https://pubmed.ncbi.nlm.nih.gov/40457349/	first_pass_pubmed_geo_checked
5	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like->tumor_like SPP1-ITGAV	SPP1	SPP1	ITGAV	tier3_target_supported_high_v3	0.940522	4	1.3837832	1	broad_spp1_integrin_axis	Published evidence supports broad SPP1-integrin signaling, but not exact SPP1-ITGAV validation in this dataset.	GEO_GSE300445;PMID_42315253;PMID_27329720;PMID_39267037	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300445;https://pubmed.ncbi.nlm.nih.gov/42315253/;https://pubmed.ncbi.nlm.nih.gov/27329720/;https://pubmed.ncbi.nlm.nih.gov/39267037/	first_pass_pubmed_geo_checked
6	GSE283052	GSM8655157_P02	colorectal cancer	tumor_like->tumor_like MIF-CD74	MIF	MIF	CD74	tier2_recurrent_external_target_supported	0.940237	11	1.2733894	1	direct_axis_other_cancer	Direct published evidence supports the MIF-CD74 axis in other tumor microenvironments; current colorectal cancer row remains computationally inferred.	GEO_GSE283052;PMID_38685050;PMID_36878933	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283052;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/	first_pass_pubmed_geo_checked
7	GSE292299	GSM8855712_NSCLC_P10	NSCLC	tumor_like->tumor_like MIF-CD74	MIF	MIF	CD74	tier1_recurrent_external_target_enriched	0.939243	15	11.615372	1	direct_axis_same_cancer	Direct published evidence supports the MIF-CD74 axis in NSCLC; dataset source confirms same broad spatial cohort context. This is not same-sample validation.	GEO_GSE292299;PMID_42092150;PMID_38685050;PMID_36878933;PMID_40457349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299;https://pubmed.ncbi.nlm.nih.gov/42092150/;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/;https://pubmed.ncbi.nlm.nih.gov/40457349/	first_pass_pubmed_geo_checked
8	GSE300445	GSM9060733_AdjIII-0022	melanoma	tumor_like->tumor_like MIF-CD74	MIF	MIF	CD74	tier3_target_supported_high_v3	0.938888	4	1.2859439	1	direct_axis_other_cancer	Direct published evidence supports the MIF-CD74 axis in other tumor microenvironments; current melanoma row remains computationally inferred.	GEO_GSE300445;PMID_42315253;PMID_38685050;PMID_36878933	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300445;https://pubmed.ncbi.nlm.nih.gov/42315253/;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/	first_pass_pubmed_geo_checked
9	GSE283052	GSM8655167_P18	colorectal cancer	tumor_like->tumor_like MIF-CD74	MIF	MIF	CD74	tier2_recurrent_external_target_supported	0.938178	11	1.2531477	0.8	direct_axis_other_cancer	Direct published evidence supports the MIF-CD74 axis in other tumor microenvironments; current colorectal cancer row remains computationally inferred.	GEO_GSE283052;PMID_38685050;PMID_36878933	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283052;https://pubmed.ncbi.nlm.nih.gov/38685050/;https://pubmed.ncbi.nlm.nih.gov/36878933/	first_pass_pubmed_geo_checked
10	GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast->stroma_fibroblast COL1A1-ITGA2	ECM-integrin	COL1A1	ITGA2	tier3_target_supported_high_v3	0.938107	4	3.8449208	1	direct_ecm_receptor_other_cancer	Published evidence supports collagen type I-ITGA2 signaling in ECM-rich cancer; current COL1A1-ITGA2 row is related but should be reviewed as ECM-integrin support, not exact COL1A1-only validation.	GEO_GSE300445;PMID_42315253;PMID_36575207	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300445;https://pubmed.ncbi.nlm.nih.gov/42315253/;https://pubmed.ncbi.nlm.nih.gov/36575207/	first_pass_pubmed_geo_checked
