filter_case_label	filter_case_type	candidate	dataset	sample_id	cancer	pathway	score_v3	tier_v3	null_pass_count	null_failure_reason	commot_supported	liana_supported	external_method_support_count	dataset_recurrence_n	evidence_label
External support, null failure	both_external_supported_but_failed_null_gate	tumor_like->tumor_like VEGFA-KDR	GSE292299	GSM8855708_NSCLC_P6	NSCLC	VEGF	0.920999	medium_pilot_v3	2	fake_lr_null_p=0.109	1	1	2	15.0	moderate_pilot_evidence
External support, null failure	both_external_supported_but_failed_null_gate	stroma_fibroblast->stroma_fibroblast TGFB1-TGFBR1	GSE292299	GSM8855715_NSCLC_P13	NSCLC	TGFB	0.920609	medium_pilot_v3	2	fake_lr_null_p=0.109	1	1	2	17.0	moderate_pilot_evidence
External support, null failure	both_external_supported_but_failed_null_gate	stroma_fibroblast->stroma_fibroblast SPP1-CD44	GSE292299	GSM8855703_NSCLC_P1	NSCLC	SPP1	0.919792	medium_pilot_v3	2	fake_lr_null_p=0.109	1	1	2	15.0	moderate_pilot_evidence
External support, null failure	both_external_supported_but_failed_null_gate	stroma_fibroblast->stroma_fibroblast MIF-CD74	GSE292299	GSM8855709_NSCLC_P7	NSCLC	MIF	0.917205	medium_pilot_v3	2	label_null_p=0.194	1	1	2	18.0	moderate_pilot_evidence
External support, null failure	both_external_supported_but_failed_null_gate	tumor_like->tumor_like TGFB1-TGFBR1	GSE300445	GSM9060733_AdjIII-0022	melanoma	TGFB	0.914033	medium_pilot_v3	2	fake_lr_null_p=0.119	1	1	2	4.0	moderate_pilot_evidence
Failed all null gates	failed_all_three_null_gates	immune->immune TGFB1-TGFBR2	GSE283052	GSM8655158_P04	colorectal cancer	TGFB	0.555283	medium_pilot_v3	0	spatial_null_p=0.294;label_null_p=0.194;fake_lr_null_p=0.465	0	1	1	5.0	null_model_risk
Failed all null gates	failed_all_three_null_gates	stroma_fibroblast->immune CXCL12-CXCR4	GSE292299	GSM8855718_NSCLC_P16	NSCLC	CXCL chemokine	0.549694	low_pilot_v3	0	spatial_null_p=0.961;label_null_p=0.323;fake_lr_null_p=0.228	1	0	1	6.0	null_model_risk
Failed all null gates	failed_all_three_null_gates	endothelial->endothelial JAG1-NOTCH2	GSE292299	GSM8855709_NSCLC_P7	NSCLC	NOTCH	0.507726	low_pilot_v3	0	spatial_null_p=0.157;label_null_p=0.548;fake_lr_null_p=0.535	0	1	1	6.0	null_model_risk
Failed all null gates	failed_all_three_null_gates	stroma_fibroblast->tumor_like COL1A1-ITGA2	GSE292299	GSM8855712_NSCLC_P10	NSCLC	ECM-integrin	0.503784	low_pilot_v3	0	spatial_null_p=1;label_null_p=1;fake_lr_null_p=0.119	0	1	1	15.0	null_model_risk
Failed all null gates	failed_all_three_null_gates	stroma_fibroblast->endothelial MIF-CD74	GSE292299	GSM8855716_NSCLC_P14	NSCLC	MIF	0.50314	low_pilot_v3	0	spatial_null_p=0.961;label_null_p=0.355;fake_lr_null_p=0.218	1	0	1	3.0	null_model_risk
Raw score, no external support	raw_score_supported_but_no_external_method_support	immune->tumor_like SPP1-ITGAV	GSE292299	GSM8855718_NSCLC_P16	NSCLC	SPP1	0.677918	medium_pilot_v3	2	spatial_null_p=0.196	0	0	0	8.0	method_inconsistency_risk
Raw score, no external support	raw_score_supported_but_no_external_method_support	stroma_fibroblast->tumor_like COL1A1-ITGA2	GSE292299	GSM8855720_DLBCL_P2	DLBCL	ECM-integrin	0.540197	low_pilot_v3	1	label_null_p=0.387;fake_lr_null_p=0.228	0	0	0	15.0	method_inconsistency_risk
Raw score, no external support	raw_score_supported_but_no_external_method_support	stroma_fibroblast->stroma_fibroblast WNT5A-FZD5	GSE292299	GSM8855719_DLBCL_P1	DLBCL	WNT	0.534549	low_pilot_v3	1	label_null_p=0.194;fake_lr_null_p=0.327	0	0	0	17.0	method_inconsistency_risk
Raw score, no external support	raw_score_supported_but_no_external_method_support	immune->tumor_like COL1A1-ITGA2	GSE292299	GSM8855718_NSCLC_P16	NSCLC	ECM-integrin	0.527394	low_pilot_v3	0	spatial_null_p=0.196;label_null_p=0.161;fake_lr_null_p=0.535	0	0	0	5.0	method_inconsistency_risk
Raw score, no external support	raw_score_supported_but_no_external_method_support	immune->immune CXCL12-CXCR4	GSE292299	GSM8855716_NSCLC_P14	NSCLC	CXCL chemokine	0.524118	low_pilot_v3	1	label_null_p=0.323;fake_lr_null_p=0.455	0	0	0	14.0	method_inconsistency_risk
v2 high downgraded	v2_high_downgraded_without_both_external_methods	tumor_like->immune MIF-CD74	GSE292299	GSM8855718_NSCLC_P16	NSCLC	MIF	0.827311	medium_pilot_v3	3	none	1	0	1	11.0	moderate_pilot_evidence
v2 high downgraded	v2_high_downgraded_without_both_external_methods	immune->tumor_like SPP1-CD44	GSE292299	GSM8855718_NSCLC_P16	NSCLC	SPP1	0.825678	medium_pilot_v3	3	none	1	0	1	9.0	moderate_pilot_evidence
v2 high downgraded	v2_high_downgraded_without_both_external_methods	tumor_like->immune SPP1-ITGAV	GSE292299	GSM8855718_NSCLC_P16	NSCLC	SPP1	0.739297	medium_pilot_v3	3	none	1	0	1	7.0	moderate_pilot_evidence
v2 high downgraded	v2_high_downgraded_without_both_external_methods	stroma_fibroblast->stroma_fibroblast JAG1-NOTCH2	GSE292299	GSM8855716_NSCLC_P14	NSCLC	NOTCH	0.704795	medium_pilot_v3	3	none	1	0	1	17.0	moderate_pilot_evidence
