source_id	source_type	pmid	doi	url	title	year	evidence_note
GEO_GSE283052	dataset_geo			https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283052	Spatial transcriptomics of 12 tumor tissues from colorectal cancer	2025	GEO page: Visium spatial expression analysis of 12 cryo-preserved colorectal cancer tissues.
GEO_GSE292299	dataset_geo			https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299	Conserved principles of spatial biology define tumor heterogeneity and immunotherapy sensitivity	2026	GEO page: pre-treatment biopsies from NSCLC and DLBCL patients; 18 spatial transcriptomics samples.
GEO_GSE300445	dataset_geo			https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300445	Spatial tumour-immune ecosystems shape the efficacy of anti-PD1 immunotherapy in primary cutaneous melanoma [Spatial Transcriptomics]	2026	GEO page: primary cutaneous melanoma spatial transcriptomics before anti-PD1 therapy; 4 samples in current MVP.
PMID_27329720	publication	27329720	10.18632/oncotarget.10157	https://pubmed.ncbi.nlm.nih.gov/27329720/	Fibrotic microenvironment promotes the metastatic seeding of tumor cells via activating the fibronectin 1/secreted phosphoprotein 1-integrin signaling.	2016	Broad SPP1-integrin signaling evidence in fibrotic metastatic niche; not ITGAV-specific validation for current rows.
PMID_34418441	publication	34418441	10.1053/j.gastro.2021.08.023	https://pubmed.ncbi.nlm.nih.gov/34418441/	Pancreatic Tumor Microenvironment Factor Promotes Cancer Stemness via SPP1-CD44 Axis.	2021	Direct SPP1-CD44 axis evidence in pancreatic tumor microenvironment; other cancer type for current MVP rows.
PMID_36575207	publication	36575207	10.1038/s41598-022-26747-1	https://pubmed.ncbi.nlm.nih.gov/36575207/	Elevated ITGA2 expression promotes collagen type I-induced clonogenic growth of intrahepatic cholangiocarcinoma.	2022	Direct collagen type I-ITGA2 functional evidence in ECM-rich cancer TME; other cancer type and ligand is collagen I complex, not COL1A1 alone.
PMID_36878933	publication	36878933	10.1038/s41421-023-00529-z	https://pubmed.ncbi.nlm.nih.gov/36878933/	CD36+ cancer-associated fibroblasts provide immunosuppressive microenvironment for hepatocellular carcinoma via secretion of macrophage migration inhibitory factor.	2023	MIF secretion from CAFs recruits MDSCs in a MIF/CD74-dependent manner; other cancer type.
PMID_38685050	publication	38685050	10.1186/s13046-024-03024-9	https://pubmed.ncbi.nlm.nih.gov/38685050/	Blocking the MIF-CD74 axis augments radiotherapy efficacy for brain metastasis in NSCLC via synergistically promoting microglia M1 polarization.	2024	Direct MIF-CD74 axis evidence in NSCLC brain metastasis microenvironment; same broad cancer type for NSCLC rows.
PMID_39267037	publication	39267037	10.1186/s12967-024-05613-w	https://pubmed.ncbi.nlm.nih.gov/39267037/	Spatial transcriptomics reveals tumor-derived SPP1 induces fibroblast chemotaxis and activation in the hepatocellular carcinoma microenvironment.	2024	Spatial transcriptomics support for tumor-derived SPP1 linked to fibroblast activation in TME; other cancer type.
PMID_40457349	publication	40457349	10.1186/s12931-025-03277-8	https://pubmed.ncbi.nlm.nih.gov/40457349/	Multi-omics unveils BCAA metabolism markers L-leucine and HMGCS1 as prognostic marker for immunotherapy efficacy in non-small cell lung cancer.	2025	NSCLC source context with spatial transcriptomics among validation datasets; not LR-axis-specific evidence.
PMID_41120125	publication	41120125	10.1136/jitc-2025-012330	https://pubmed.ncbi.nlm.nih.gov/41120125/	SPP1high macrophage-induced T-cell stress promotes colon cancer liver metastasis through SPP1/CD44/PI3K/AKT signaling.	2025	Direct SPP1/CD44 signaling evidence in colon cancer liver metastasis; strong CRC-lineage support, not same sample.
PMID_42092150	publication	42092150	10.1038/s41586-026-10452-4	https://pubmed.ncbi.nlm.nih.gov/42092150/	Non-invasive profiling of the tumour microenvironment with spatial ecotypes.	2026	Pan-tumor spatial ecosystem context across carcinomas and melanomas; useful for spatial-ecotype framing, not LR-axis-specific evidence.
PMID_42315253	publication	42315253	10.1136/jitc-2025-014030	https://pubmed.ncbi.nlm.nih.gov/42315253/	Melanoma cell states shape spatial tumor-immune ecosystems to dictate the efficacy of anti-PD1 immunotherapy.	2026	Melanoma spatial tumor-immune ecosystem source context; not LR-axis-specific evidence.
